Site,Col_Company,Col_Recruit,Col_detail,Col_url
Job_Korea,㈜카카오페이,DataOps Manager - 데이터분석,"신입·경력, 학력무관, 정규직, 경기 성남시, ~10/19(일)",https://www.jobkorea.co.kr/Recruit/GI_Read/47734958?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=1&sc=630&rt=B
Job_Korea,㈜메디쿼터스,[일본:누구(nugu)]프로덕트기획팀데이터분석,"경력10년↑, 학력무관, 정규직, 서울 강남구, 합격축하금 50만원, ~10/31(금)",https://www.jobkorea.co.kr/Recruit/GI_Read/47733732?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=2&sc=630&rt=B
Job_Korea,㈜원익피앤이,[원익PNE] 데이터분석 및 솔루션 담당자,"경력3년↑, 석사↑, 정규직, 경기 수원시, 합격축하금 100만원, 수평적 조직문화, ~11/08(토)",https://www.jobkorea.co.kr/Recruit/GI_Read/47664827?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=3&sc=630&rt=B
Job_Korea,콘센트릭스서비스코리아,[Catalyst] 데이터분석 컨설턴트,"경력5년↑, 학력무관, 정규직, 서울 강남구, 합격축하금 50만원, 리프레시 휴가, 자율복장, 각종 교육비 지원, ~10/16(목)",https://www.jobkorea.co.kr/Recruit/GI_Read/47706542?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=4&sc=630&rt=B
Job_Korea,㈜지바이크,[지쿠] 전략마케팅팀 데이터분석 전문가 경력 채용,"경력3년↑, 대졸↑, 정규직, 서울 강남구, 상시채용",https://www.jobkorea.co.kr/Recruit/GI_Read/47443951?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=5&sc=630&rt=B
Job_Korea,콘센트릭스서비스코리아,[Catalyst] 데이터분석 컨설턴트,"경력5년↑, 학력무관, 정규직, 서울 강남구, 리프레시 휴가, 자율복장, 각종 교육비 지원, ~09/30(화)",https://www.jobkorea.co.kr/Recruit/GI_Read/47593760?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=6&sc=630&rt=B
Job_Korea,넛지헬스케어㈜,[캐시워크-병역특례] 데이터분석 담당 산업기능요원,"경력무관, 학력무관, 병역특례, 서울 강남구, 쾌적한 업무공간, 유연근무, ~10/04(토)",https://www.jobkorea.co.kr/Recruit/GI_Read/47447269?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=7&sc=630&rt=B
Job_Korea,㈜메디쿼터스,[일본:누구(nugu)] 프로덕트기획팀 데이터분석,"경력10년↑, 학력무관, 정규직, 서울 강남구, ~11/09(일)",https://www.jobkorea.co.kr/Recruit/GI_Read/47677403?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=8&sc=630&rt=B
Job_Korea,삼양식품㈜,[삼양식품] Global 물류(관리/데이터분석),"경력8년↑, 대졸↑, 정규직, 서울 성북구, D-3",https://www.jobkorea.co.kr/Recruit/GI_Read/47393016?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=9&sc=630&rt=B
Job_Korea,㈜트리노드(TreenodInc.),[서울/경력 5년 이상] 데이터분석팀 데이터분석가,"경력5년↑, 학력무관, 정규직, 서울 강남구, ~11/07(금)",https://www.jobkorea.co.kr/Recruit/GI_Read/47660884?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=10&sc=630&rt=B
Job_Korea,넛지헬스케어㈜,[캐시워크] 데이터분석 담당 채용전환형 인턴,"신입, 대졸↑, 인턴, 서울 강남구, 식사 지원, 쾌적한 업무공간, 휴가제도, 경조사 지원, 야근 없음, ~10/04(토)",https://www.jobkorea.co.kr/Recruit/GI_Read/47447275?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=11&sc=630&rt=B
Job_Korea,㈜에이치엔비아시아,전략기획 시스템 운영 및 데이터분석 담당 채용(대리급),"경력2년↑, 대졸↑, 정규직, 서울 송파구, ~10/16(목)",https://www.jobkorea.co.kr/Recruit/GI_Read/47712486?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=12&sc=630&rt=B
Job_Korea,㈜컴투스,[컴투스홀딩스] 데이터분석 담당자 (3-8년차),"경력3년↑, 학력무관, 정규직, 서울 금천구, 명절선물/명절상여 지원, 출퇴근 셔틀버스 운영, 경조사 지원, 복지포인트, 사내 동호회 지원, ~10/25(토)",https://www.jobkorea.co.kr/Recruit/GI_Read/47579831?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=13&sc=630&rt=B
Job_Korea,휴먼교육센터,[국비무료/숙식무료]AI/빅데이터분석/풀스택/KDT심화(무료숙식제공),"신입·경력, 학력무관, 연수생/교육생, 서울 영등포구 외 14, ~09/30(화)",https://www.jobkorea.co.kr/Recruit/GI_Read/47702563?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=14&sc=630&rt=B
Job_Korea,SK㈜,IIoT 기반 진단모니터링 구축 및 데이터분석 전문가 영입,"경력5년↑, 대졸↑, 정규직, 경기 성남시, ~09/29(월)",https://www.jobkorea.co.kr/Recruit/GI_Read/47485871?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=15&sc=630&rt=B
